+   1 | INSERTED | VALID LINE |    0R    1W
+ 150 | INSERTED | VALID LINE |    5R    3W
+ 151 | INSERTED | VALID LINE |    3R    2W
+ 152 | INSERTED | VALID LINE |    3R    1W
+ 153 | INSERTED | VALID LINE |    5R    3W
+ 154 | INSERTED | VALID LINE |    5R    2W
+ 155 | INSERTED | VALID LINE |    5R    3W
+ 156 | INSERTED | VALID LINE |    3R    2W
+ 157 | INSERTED | VALID LINE |    5R    3W
+ 158 | INSERTED | VALID LINE |    3R    1W
+ 159 | INSERTED | VALID LINE |    4R    1W
+ 160 | INSERTED | VALID LINE |    3R    2W
+ 161 | INSERTED | VALID LINE |    5R    3W
+ 162 | INSERTED | VALID LINE |    3R    2W
+ 163 | INSERTED | VALID LINE |    3R    2W
+ 164 | INSERTED | MISSING: LAST_NAME |    3R    1W
+ 165 | INSERTED | VALID LINE |    3R    2W
+ 166 | INSERTED | VALID LINE |    5R    3W
+ 167 | INSERTED | VALID LINE |    3R    1W
+ 168 | INSERTED | VALID LINE |    5R    3W
+ 169 | INSERTED | VALID LINE |    3R    1W
+ 170 | INSERTED | VALID LINE |    5R    3W
+ 171 | INSERTED | VALID LINE |    3R    2W
+ 172 | INSERTED | VALID LINE |    3R    2W
+ 173 | INSERTED | MISSING: FIRST_NAME |    3R    1W
+ 174 | INSERTED | VALID LINE |    3R    2W
+ 175 | INSERTED | VALID LINE |    5R    3W
+ 176 | INSERTED | VALID LINE |    3R    1W
+ 177 | INSERTED | VALID LINE |    3R    2W
+ 178 | INSERTED | VALID LINE |    3R    1W
+ 179 | INSERTED | VALID LINE |    3R    1W
+ 180 | INSERTED | VALID LINE |    5R    3W
+ 181 | INSERTED | VALID LINE |    3R    3W
+ 182 | INSERTED | VALID LINE |    4R    3W
+ 183 | INSERTED | VALID LINE |    6R    4W
+ 184 | INSERTED | MISSING: LAST_NAME |    4R    2W
+ 185 | INSERTED | VALID LINE |    6R    4W
+ 186 | INSERTED | VALID LINE |    4R    2W
+ 187 | INSERTED | VALID LINE |    4R    2W
+ 188 | INSERTED | MISSING: FIRST_NAME |    6R    4W
+ 189 | INSERTED | VALID LINE |    4R    2W
+ 190 | INSERTED | VALID LINE |    4R    2W
+ 191 | INSERTED | VALID LINE |    4R    2W
+ 192 | INSERTED | VALID LINE |    6R    4W
+ 193 | INSERTED | VALID LINE |    4R    3W
+ 194 | INSERTED | VALID LINE |    4R    2W
+ 195 | INSERTED | VALID LINE |    4R    2W
+ 196 | INSERTED | VALID LINE |    6R    4W
+ 197 | INSERTED | VALID LINE |    4R    3W
+ 198 | INSERTED | MISSING: BIRTH_DATE BIRTH_CITY |    6R    4W
+ 199 | INSERTED | VALID LINE |    4R    3W
+ 200 | INSERTED | VALID LINE |    4R    2W
+ 201 | INSERTED | VALID LINE |    4R    3W
+ 202 | INSERTED | VALID LINE |    4R    2W
+ 203 | INSERTED | VALID LINE |    6R    4W
+ 204 | INSERTED | VALID LINE |    4R    3W
+ 205 | INSERTED | VALID LINE |    6R    4W
+ 206 | INSERTED | VALID LINE |    6R    4W
+ 207 | INSERTED | VALID LINE |    4R    1W
+ 208 | INSERTED | VALID LINE |    4R    3W
+ 209 | INSERTED | VALID LINE |    4R    3W
+ 210 | INSERTED | VALID LINE |    4R    3W
+ 211 | INSERTED | MISSING: LAST_NAME |    6R    4W
+ 212 | INSERTED | VALID LINE |    4R    3W
+ 213 | INSERTED | VALID LINE |    4R    2W
+ 214 | INSERTED | VALID LINE |    4R    3W
+ 215 | INSERTED | VALID LINE |    4R    2W
+ 216 | INSERTED | VALID LINE |    6R    4W
+ 217 | INSERTED | VALID LINE |    4R    2W
+ 218 | INSERTED | VALID LINE |    4R    1W
+ 219 | INSERTED | VALID LINE |    6R    4W
+ 220 | INSERTED | VALID LINE |    4R    2W
+ 221 | INSERTED | VALID LINE |    4R    1W
+ 222 | INSERTED | VALID LINE |    4R    2W
+ 223 | INSERTED | MISSING: LAST_NAME |    4R    3W
+ 224 | INSERTED | MISSING: FIRST_NAME |    4R    3W
+ 225 | INSERTED | VALID LINE |    4R    1W
+ 226 | INSERTED | VALID LINE |    6R    4W
+ 227 | INSERTED | VALID LINE |    4R    1W
+ 228 | INSERTED | VALID LINE |    4R    3W
+ 229 | INSERTED | VALID LINE |    4R    2W
+ 230 | INSERTED | MISSING: BIRTH_DATE |    6R    4W
+ 231 | INSERTED | VALID LINE |    4R    3W
+ 232 | INSERTED | VALID LINE |    4R    3W
+ 233 | INSERTED | MISSING: FIRST_NAME |    4R    2W
+ 234 | INSERTED | MISSING: BIRTH_DATE |    4R    3W
+ 235 | INSERTED | VALID LINE |    4R    3W
+ 236 | INSERTED | MISSING: BIRTH_DATE |    4R    1W
+ 237 | INSERTED | VALID LINE |    4R    1W
+ 238 | INSERTED | VALID LINE |    4R    2W
+ 239 | INSERTED | VALID LINE |    4R    1W
+ 240 | INSERTED | MISSING: FIRST_NAME |    4R    2W
+ 241 | INSERTED | VALID LINE |    4R    3W
+ 242 | INSERTED | VALID LINE |    7R    4W
+ 243 | INSERTED | VALID LINE |    7R    5W
+ 244 | INSERTED | MISSING: BIRTH_CITY |    4R    3W
+ 245 | INSERTED | VALID LINE |    7R    5W
+ 246 | INSERTED | VALID LINE |    4R    2W
+ 247 | INSERTED | VALID LINE |    7R    5W
+ 248 | INSERTED | VALID LINE |    4R    2W
+ 249 | INSERTED | VALID LINE |    4R    2W
+ 250 | INSERTED | VALID LINE |    7R    4W
+ 251 | INSERTED | VALID LINE |    7R    4W
+ 252 | INSERTED | VALID LINE |    4R    3W
+ 253 | INSERTED | VALID LINE |    5R    1W
+ 254 | INSERTED | VALID LINE |    7R    4W
+ 255 | INSERTED | VALID LINE |    4R    2W
+ 256 | INSERTED | VALID LINE |    4R    1W
+ 257 | INSERTED | VALID LINE |    7R    4W
+ 258 | INSERTED | VALID LINE |    7R    5W
+ 259 | INSERTED | VALID LINE |    7R    4W
+ 260 | INSERTED | VALID LINE |    4R    2W
+ 261 | INSERTED | MISSING: BIRTH_CITY |    4R    3W
+ 262 | INSERTED | VALID LINE |    4R    1W
+ 263 | INSERTED | VALID LINE |    7R    5W
+ 264 | INSERTED | VALID LINE |    4R    1W
+ 265 | INSERTED | VALID LINE |    4R    3W
+ 266 | INSERTED | VALID LINE |    4R    3W
+ 267 | INSERTED | VALID LINE |    7R    5W
+ 268 | INSERTED | VALID LINE |    4R    2W
+ 269 | INSERTED | VALID LINE |    4R    2W
+ 270 | INSERTED | VALID LINE |    4R    2W
+ 271 | INSERTED | VALID LINE |    4R    3W
+ 272 | INSERTED | VALID LINE |    4R    1W
+ 273 | INSERTED | MISSING: LAST_NAME |    4R    2W
+ 274 | INSERTED | VALID LINE |    4R    2W
+ 275 | INSERTED | VALID LINE |    4R    2W
+ 276 | INSERTED | VALID LINE |    4R    1W
+ 277 | INSERTED | VALID LINE |    7R    4W
+ 278 | INSERTED | VALID LINE |    4R    2W
+ 279 | INSERTED | MISSING: LAST_NAME |    7R    4W
+ 280 | INSERTED | VALID LINE |    7R    5W
+ 281 | INSERTED | VALID LINE |    4R    2W
+ 282 | INSERTED | VALID LINE |    4R    3W
+ 283 | INSERTED | VALID LINE |    7R    5W
+ 284 | INSERTED | MISSING: LAST_NAME |    4R    3W
+ 285 | INSERTED | MISSING: BIRTH_CITY |    7R    5W
+ 286 | INSERTED | VALID LINE |    4R    3W
+ 287 | INSERTED | VALID LINE |    7R    4W
+ 288 | INSERTED | VALID LINE |    4R    1W
+ 289 | INSERTED | VALID LINE |    4R    2W
+ 290 | INSERTED | VALID LINE |    4R    3W
+ 291 | INSERTED | VALID LINE |    4R    3W
+ 292 | INSERTED | VALID LINE |    7R    4W
+ 293 | INSERTED | VALID LINE |    4R    1W
+ 294 | INSERTED | MISSING: BIRTH_DATE |    4R    2W
+ 295 | INSERTED | MISSING: FIRST_NAME |    4R    1W
+ 296 | INSERTED | MISSING: BIRTH_DATE |    4R    3W
+ 297 | INSERTED | VALID LINE |    4R    2W
+ 298 | INSERTED | VALID LINE |    7R    4W
+ 299 | INSERTED | VALID LINE |    7R    5W
+ 300 | INSERTED | VALID LINE |    7R    4W
+ 301 | INSERTED | VALID LINE |    4R    3W
+ 302 | INSERTED | VALID LINE |    5R    4W
+ 303 | INSERTED | VALID LINE |    8R    5W
+ 304 | INSERTED | VALID LINE |    5R    4W
+ 305 | INSERTED | VALID LINE |    5R    4W
+ 306 | INSERTED | VALID LINE |    6R    3W
+ 307 | INSERTED | VALID LINE |    8R    5W
+ 308 | INSERTED | VALID LINE |    8R    5W
+ 309 | INSERTED | VALID LINE |    4R    2W
+ 310 | INSERTED | VALID LINE |    8R    6W
+ 311 | INSERTED | VALID LINE |    6R    3W
+ 312 | INSERTED | VALID LINE |    5R    4W
+ 313 | INSERTED | VALID LINE |    6R    3W
+ 314 | INSERTED | VALID LINE |    5R    4W
+ 315 | INSERTED | MISSING: BIRTH_DATE |    8R    5W
+ 316 | INSERTED | VALID LINE |    4R    2W
+ 317 | INSERTED | VALID LINE |    8R    5W
+ 318 | INSERTED | VALID LINE |    6R    3W
+ 319 | INSERTED | VALID LINE |    8R    6W
+ 320 | INSERTED | VALID LINE |    4R    2W
+ 321 | INSERTED | VALID LINE |    6R    3W
+ 322 | INSERTED | VALID LINE |    8R    5W
+ 323 | INSERTED | VALID LINE |    4R    2W
+ 324 | INSERTED | VALID LINE |    6R    3W
+ 325 | INSERTED | VALID LINE |    8R    5W
+ 326 | INSERTED | MISSING: BIRTH_DATE |    4R    1W
+ 327 | INSERTED | VALID LINE |    6R    3W
+ 328 | INSERTED | VALID LINE |    5R    4W
+ 329 | INSERTED | VALID LINE |    8R    5W
+ 330 | INSERTED | VALID LINE |    6R    3W
+ 331 | INSERTED | VALID LINE |    4R    1W
+ 332 | INSERTED | VALID LINE |    4R    1W
+ 333 | INSERTED | VALID LINE |    4R    2W
+ 334 | INSERTED | VALID LINE |    8R    6W
+ 335 | INSERTED | MISSING: BIRTH_CITY |    8R    5W
+ 336 | INSERTED | VALID LINE |    8R    5W
+ 337 | INSERTED | VALID LINE |    8R    5W
+ 338 | INSERTED | VALID LINE |    4R    2W
+ 339 | INSERTED | MISSING: BIRTH_DATE |    6R    3W
+ 340 | INSERTED | VALID LINE |    6R    3W
+ 341 | INSERTED | VALID LINE |    5R    4W
+ 342 | INSERTED | VALID LINE |    4R    2W
+ 343 | INSERTED | VALID LINE |    5R    4W
+ 344 | INSERTED | VALID LINE |    5R    4W
+ 345 | INSERTED | MISSING: BIRTH_CITY |    8R    6W
+ 346 | INSERTED | MISSING: BIRTH_DATE |    8R    5W
+ 347 | INSERTED | VALID LINE |    8R    5W
+ 348 | INSERTED | MISSING: LAST_NAME |    4R    2W
+ 349 | INSERTED | VALID LINE |    4R    1W
+ 350 | INSERTED | VALID LINE |    4R    1W
+ 351 | INSERTED | VALID LINE |    5R    4W
+ 352 | INSERTED | VALID LINE |    5R    4W
+ 353 | INSERTED | VALID LINE |    8R    6W
+ 354 | INSERTED | VALID LINE |    8R    5W
+ 355 | INSERTED | VALID LINE |    4R    2W
+ 356 | INSERTED | VALID LINE |    4R    1W
+ 357 | INSERTED | VALID LINE |    8R    5W
+ 358 | INSERTED | VALID LINE |    4R    2W
+ 359 | INSERTED | MISSING: BIRTH_DATE |    4R    2W
+ 360 | INSERTED | VALID LINE |    5R    4W
+ 361 | INSERTED | VALID LINE |    4R    2W
+ 362 | INSERTED | VALID LINE |    8R    6W
+ 363 | INSERTED | VALID LINE |    5R    4W
+ 364 | INSERTED | VALID LINE |    6R    3W
+ 365 | INSERTED | VALID LINE |    8R    6W
+ 366 | INSERTED | VALID LINE |    8R    6W
+ 367 | INSERTED | VALID LINE |    8R    6W
+ 368 | INSERTED | VALID LINE |    5R    4W
+ 369 | INSERTED | VALID LINE |    4R    2W
+ 370 | INSERTED | VALID LINE |    6R    3W
+ 371 | INSERTED | VALID LINE |    8R    6W
+ 372 | INSERTED | VALID LINE |    4R    2W
+ 373 | INSERTED | VALID LINE |    8R    6W
+ 374 | INSERTED | VALID LINE |    6R    3W
+ 375 | INSERTED | VALID LINE |   10R    7W
+ 376 | INSERTED | MISSING: FIRST_NAME BIRTH_DATE |    4R    2W
+ 377 | INSERTED | VALID LINE |   10R    7W
+ 378 | INSERTED | VALID LINE |    5R    4W
+ 379 | INSERTED | MISSING: BIRTH_DATE |    5R    4W
+ 380 | INSERTED | VALID LINE |   10R    7W
+ 381 | INSERTED | VALID LINE |    8R    5W
+ 382 | INSERTED | VALID LINE |   10R    7W
+ 383 | INSERTED | VALID LINE |    8R    5W
+ 384 | INSERTED | VALID LINE |    6R    3W
+ 385 | INSERTED | MISSING: BIRTH_DATE |    8R    6W
+ 386 | INSERTED | VALID LINE |    4R    2W
+ 387 | INSERTED | VALID LINE |    4R    1W
+ 388 | INSERTED | MISSING: BIRTH_DATE |    9R    5W
+ 389 | INSERTED | VALID LINE |    4R    1W
+ 390 | INSERTED | VALID LINE |    4R    1W
+ 391 | INSERTED | VALID LINE |    8R    5W
+ 392 | INSERTED | VALID LINE |    8R    5W
+ 393 | INSERTED | VALID LINE |    8R    6W
+ 394 | INSERTED | VALID LINE |    4R    2W
+ 395 | INSERTED | VALID LINE |    6R    3W
+ 396 | INSERTED | VALID LINE |    4R    2W
+ 397 | INSERTED | MISSING: BIRTH_DATE |    5R    1W
+ 398 | INSERTED | MISSING: BIRTH_CITY |    6R    3W
+ 399 | INSERTED | VALID LINE |    8R    6W
+ 400 | INSERTED | VALID LINE |   10R    7W
+ 401 | INSERTED | MISSING: FIRST_NAME |    8R    5W
+ 402 | INSERTED | VALID LINE |    5R    4W
+ 403 | INSERTED | VALID LINE |   10R    7W
+ 404 | INSERTED | MISSING: BIRTH_DATE |   10R    7W
+ 405 | INSERTED | VALID LINE |   10R    7W
+ 406 | INSERTED | VALID LINE |    8R    6W
+ 407 | INSERTED | VALID LINE |    8R    5W
+ 408 | INSERTED | MISSING: BIRTH_DATE |    6R    3W
+ 409 | INSERTED | VALID LINE |    5R    4W
+ 410 | INSERTED | VALID LINE |    8R    5W
+ 411 | INSERTED | VALID LINE |   10R    7W
+ 412 | INSERTED | VALID LINE |    5R    4W
+ 413 | INSERTED | VALID LINE |    5R    4W
+ 414 | INSERTED | VALID LINE |    8R    6W
+ 415 | INSERTED | VALID LINE |    8R    5W
+ 416 | INSERTED | MISSING: LAST_NAME |    8R    5W
+ 417 | INSERTED | VALID LINE |    5R    4W
+ 418 | INSERTED | MISSING: BIRTH_DATE |    6R    3W
+ 419 | INSERTED | VALID LINE |    8R    6W
+ 420 | INSERTED | MISSING: BIRTH_DATE |   10R    7W
+ 421 | INSERTED | MISSING: BIRTH_DATE |    6R    4W
+ 422 | INSERTED | MISSING: LAST_NAME |    7R    4W
+ 423 | INSERTED | VALID LINE |    5R    2W
+ 424 | INSERTED | VALID LINE |    7R    4W
+ 425 | INSERTED | VALID LINE |   11R    8W
+ 426 | INSERTED | VALID LINE |   11R    8W
+ 427 | INSERTED | VALID LINE |    6R    5W
+ 428 | INSERTED | VALID LINE |    7R    4W
+ 429 | INSERTED | VALID LINE |    5R    3W
+ 430 | INSERTED | VALID LINE |   11R    8W
+ 431 | INSERTED | VALID LINE |    9R    6W
+ 432 | INSERTED | VALID LINE |    5R    2W
+ 433 | INSERTED | VALID LINE |    5R    3W
+ 434 | INSERTED | VALID LINE |   11R    8W
+ 435 | INSERTED | VALID LINE |    7R    4W
+ 436 | INSERTED | VALID LINE |    5R    3W
+ 437 | INSERTED | VALID LINE |    7R    4W
+ 438 | INSERTED | VALID LINE |   11R    8W
+ 439 | INSERTED | VALID LINE |    7R    4W
+ 440 | INSERTED | VALID LINE |    9R    6W
+ 441 | INSERTED | VALID LINE |   11R    8W
+ 442 | INSERTED | VALID LINE |   11R    8W
+ 443 | INSERTED | VALID LINE |    5R    3W
+ 444 | INSERTED | VALID LINE |   11R    8W
+ 445 | INSERTED | VALID LINE |    9R    7W
+ 446 | INSERTED | VALID LINE |    9R    7W
+ 447 | INSERTED | MISSING: LAST_NAME |    7R    4W
+ 448 | INSERTED | VALID LINE |    9R    6W
+ 449 | INSERTED | VALID LINE |    9R    6W
+ 450 | INSERTED | VALID LINE |    9R    6W
+ 451 | INSERTED | VALID LINE |    5R    3W
+ 452 | INSERTED | MISSING: BIRTH_CITY |    9R    6W
+ 453 | INSERTED | VALID LINE |    9R    7W
+ 454 | INSERTED | VALID LINE |    6R    5W
+ 455 | INSERTED | MISSING: FIRST_NAME |    7R    4W
+ 456 | INSERTED | VALID LINE |    7R    4W
+ 457 | INSERTED | VALID LINE |    7R    4W
+ 458 | INSERTED | MISSING: BIRTH_DATE |    7R    4W
+ 459 | INSERTED | MISSING: FIRST_NAME BIRTH_CITY |    5R    2W
+ 460 | INSERTED | VALID LINE |    5R    1W
+ 461 | INSERTED | VALID LINE |    6R    5W
+ 462 | INSERTED | VALID LINE |    5R    2W
+ 463 | INSERTED | VALID LINE |    5R    1W
+ 464 | INSERTED | VALID LINE |    5R    1W
+ 465 | INSERTED | VALID LINE |    5R    2W
+ 466 | INSERTED | VALID LINE |    9R    6W
+ 467 | INSERTED | VALID LINE |    7R    4W
+ 468 | INSERTED | VALID LINE |    5R    3W
+ 469 | INSERTED | VALID LINE |   11R    8W
+ 470 | INSERTED | VALID LINE |    6R    5W
+ 471 | INSERTED | VALID LINE |    6R    5W
+ 472 | INSERTED | VALID LINE |    5R    1W
+ 473 | INSERTED | VALID LINE |    5R    3W
+ 474 | INSERTED | VALID LINE |    9R    7W
+ 475 | INSERTED | VALID LINE |   11R    8W
+ 476 | INSERTED | VALID LINE |    5R    2W
+ 477 | INSERTED | VALID LINE |    9R    7W
+ 478 | INSERTED | VALID LINE |    9R    7W
+ 479 | INSERTED | VALID LINE |    9R    7W
+ 480 | INSERTED | VALID LINE |    5R    1W
+ 481 | INSERTED | VALID LINE |    5R    2W
+ 482 | INSERTED | VALID LINE |    6R    5W
+ 483 | INSERTED | VALID LINE |   12R    9W
+ 484 | INSERTED | VALID LINE |    5R    2W
+ 485 | INSERTED | VALID LINE |   12R    9W
+ 486 | INSERTED | MISSING: FIRST_NAME |   10R    7W
+ 487 | INSERTED | MISSING: LAST_NAME |    5R    3W
+ 488 | INSERTED | VALID LINE |    5R    2W
+ 489 | INSERTED | VALID LINE |   10R    6W
+ 490 | INSERTED | VALID LINE |   10R    6W
+ 491 | INSERTED | MISSING: LAST_NAME |    6R    5W
+ 492 | INSERTED | VALID LINE |   10R    6W
+ 493 | INSERTED | VALID LINE |   12R    9W
+ 494 | INSERTED | VALID LINE |    7R    4W
+ 495 | INSERTED | VALID LINE |   10R    8W
+ 496 | INSERTED | MISSING: LAST_NAME |    5R    2W
+ 497 | INSERTED | VALID LINE |    7R    2W
+ 498 | INSERTED | VALID LINE |    6R    5W
+ 499 | INSERTED | MISSING: FIRST_NAME |   12R    9W
+ 500 | INSERTED | VALID LINE |   10R    6W
+ 501 | INSERTED | MISSING: BIRTH_CITY |    5R    2W
+ 502 | INSERTED | VALID LINE |   10R    8W
+ 503 | INSERTED | VALID LINE |   10R    7W
+ 504 | INSERTED | VALID LINE |   12R    9W
+ 505 | INSERTED | VALID LINE |    6R    5W
+ 506 | INSERTED | MISSING: BIRTH_CITY |   10R    6W
+ 507 | INSERTED | VALID LINE |   10R    7W
+ 508 | INSERTED | VALID LINE |    5R    2W
+ 509 | INSERTED | VALID LINE |    5R    2W
+ 510 | INSERTED | VALID LINE |   10R    7W
+ 511 | INSERTED | MISSING: BIRTH_CITY |   10R    6W
+ 512 | INSERTED | VALID LINE |   12R    9W
+ 513 | INSERTED | VALID LINE |    5R    3W
+ 514 | INSERTED | VALID LINE |    5R    3W
+ 515 | INSERTED | VALID LINE |    5R    2W
+ 516 | INSERTED | VALID LINE |   10R    7W
+ 517 | INSERTED | VALID LINE |    5R    3W
+ 518 | INSERTED | MISSING: BIRTH_DATE |   10R    6W
